ABONAMĘT;ABONAMENT
ZCZYMSZ;SZCZYSZ
ZDEŻAK;ZDERZAK
ZDIEDCIE;
ZDJENCIA;ZAJĘCIA
ZELASKO;ŻELAZKO
ZESTAF;ZESTAW
ZEZBIONY;RZEŹBIONY
ZGURY;GÓRY
ZIELONEJ GUZE;
ZJĘCIE;ZDJĘCIE
ZKORO;SKORO
ZLIKFIDOWANEGO;ZLIKWIDOWANEGO
ZNALESC;ZNALEŹĆ
ZNAPENDEM;
ZNISZKA;MNISZKA
ZPARSZAM;ZDARZAM
ZTYMZE;TYMŻE
ZURZYCIE;ZUŻYCIA
ZWERZA;ZWAŻA
ZWIĘCZAJĄCA;ZWIERZAJĄCA
ZYLANDOR;
ZŁUZYTE;ZUŻYTE
ÓMAWIALIŚMY SIE;
ŁESKI;LEKKI
ŁGAŻ;GAZ
ŁONCZONY;WŁĄCZONY
ŁONCZĄCE;ŁĄCZĄCE
ŁONKI;ŁĄKI,
ŁUDKA;ŁÓŻKA
ŁUDKOWATYM;ŁUSKOWATYM
ŁUKOS;ŁUKÓW
ŁUŻECZKO;ŁÓŻECZKA
ŁUŻKA;ŁÓŻKA
ŁĄCUŻKU;
ŚCIANOM;ŚCIANĄ
ŚIWTENIA;SIWIENIA
ŚLIFIERKA;SZLIFIERKA
ŚLIFOWANIA;SZLIFOWANIA
ŚNIERZNO-BIALY;
ŚNIESZKA;ŚMIESZKĄ
ŚRÓBKI;ŚRODKI
ŚĆĘTY;ŚCIĘTY
ŹRUDŁO;ŹRÓDŁO
ŻADKO;RZADKO
ŻANDARIERA;
ŻATKO;RZADKO
ŻECZY;RZECZY
ŻECZYWISTOŚĆ;RZECZYWISTOŚĆ
ŻEMYK;RZEMYK
ŻEPEM;ZEREM
ŻETELNY;RZETELNĄ
ŻEŹBA;RZEŹBY
ŻUCAĆ;RZUCIĆ
ŻUTUJE;RZUTUJE
ŻUŁTY;ŻÓŁTYM
ŻĄKILI;ŻONKIL
